trend,january,february,march,april,may,june,july,august,september,october,november,december,,new_tags_taxonomy,shopstyle_taxonomy
low rise jeans,14800,14800,14800,14800,12100,12100,18100,14800,18100,18100,18100,,,Denim and Jeans - Classification,men.mens_clothes.mens_jeans.mens_low_rise_jeans
walmart beauty box,12100,33100,27100,14800,33100,33100,18100,33100,27100,12100,18100,,,,
slide sandals,9900,18100,18100,27100,22200,22200,18100,14800,12100,14800,18100,,,"Shoes - Sandals: Classification,Shoes - Evening: Classification",women.womens_shoes.sandals
mens bootcut jeans,8100,8100,6600,6600,6600,6600,8100,8100,12100,14800,18100,,,Mens - Denim: Silhouette,men.mens_clothes.mens_jeans.mens_bootcut_jeans
slim fit shirt,12100,18100,14800,18100,18100,14800,14800,14800,18100,18100,18100,,,,men.mens_clothes.mens_shirts
bandeau bikini,49500,74000,74000,90500,110000,135000,74000,27100,18100,18100,18100,,,Swimwear - Classification,women.womens_clothes.swimsuits.two_piece_swimsuits
best face wash,14800,14800,14800,14800,14800,18100,18100,18100,18100,18100,18100,,,,women.womens_beauty.skin_care.face_care
denim overalls,14800,18100,18100,18100,18100,18100,18100,27100,74000,22200,18100,,,,women.womens_clothes
white top,14800,18100,22200,22200,22200,22200,18100,18100,22200,22200,18100,,,,women.womens_clothes.womens_tops
moto jeans,6600,6600,5400,5400,5400,6600,9900,8100,12100,14800,18100,,,Denim and Jeans - Classification,men.mens_clothes.mens_jeans
weekend bags,27100,27100,18100,18100,22200,18100,18100,18100,18100,22200,18100,,,Luggage - Classification,women.handbags
womens briefcase,12100,12100,12100,12100,9900,12100,12100,9900,12100,14800,18100,,,Handbags - Classification,women.handbags
eyelet,18100,22200,22200,22200,22200,22200,22200,18100,22200,22200,18100,,,Trends - Fabric,women.womens_clothes
wool pants,9900,8100,5400,5400,5400,5400,8100,12100,18100,22200,18100,,,Pants - Material,women.womens_clothes.womens_pants
poplin,22200,18100,18100,22200,18100,18100,18100,18100,18100,18100,18100,,,,women.womens_clothes
dried figs,14800,14800,14800,14800,12100,12100,14800,14800,14800,18100,18100,,,Health Snacks - Dried Fruits,women
cotton leggings,9900,12100,12100,12100,9900,9900,12100,12100,18100,18100,18100,,,Pants - Leggings,women.womens_clothes.womens_pants.leggings
501 jeans,9900,9900,9900,9900,8100,8100,8100,8100,12100,14800,18100,,,,men.mens_clothes.mens_jeans
white skinny jeans,14800,22200,22200,27100,22200,22200,22200,14800,18100,14800,18100,,,,women.womens_clothes.jeans.skinny_jeans
midi ring,14800,14800,14800,12100,12100,12100,12100,9900,12100,12100,18100,,,Jewelry - Rings: Classification,women.womens_clothes.jewelry.rings
blue lace dress,18100,22200,18100,18100,14800,14800,14800,18100,18100,18100,18100,,,,women.womens_clothes.dresses
wireless bra,9900,14800,12100,14800,14800,14800,18100,14800,14800,18100,18100,,,Intimates - Bras: Silhouette,women.womens_clothes.womens_intimates.bras
lip primer,12100,14800,12100,12100,9900,12100,12100,12100,14800,14800,18100,,,Beauty - Color Cosmetics: Lips,women.womens_beauty.makeup.lip_products
mens desert boots,9900,12100,9900,9900,8100,8100,8100,9900,12100,18100,18100,,,"Mens - Boots,Mens - Casual Shoes",men.mens_shoes.mens_boots
leather pencil skirt,14800,14800,9900,8100,8100,8100,12100,14800,22200,22200,18100,,,,women.womens_clothes.skirts
fringe skirt,8100,12100,12100,9900,12100,12100,14800,27100,27100,22200,18100,,,Skirts - Embellishment,women.womens_clothes.skirts
long gloves,12100,9900,8100,8100,8100,8100,8100,12100,33100,18100,18100,,,Cold Weather Accessories - Gloves: Classification,women.womens_clothes.womens_accessories.gloves
dried cranberries,14800,14800,14800,14800,12100,14800,14800,14800,18100,22200,18100,,,Health Snacks - Dried Fruits,living
face toners,22200,18100,14800,14800,14800,14800,12100,14800,18100,14800,18100,,,,women.womens_beauty.skin_care.face_care.face_toners
faux leather skirt,9900,8100,5400,4400,3600,4400,8100,12100,18100,18100,18100,,,,women.womens_clothes.skirts
work shirts,14800,22200,22200,22200,22200,22200,22200,22200,27100,22200,18100,,,,men.mens_clothes.mens_shirts
mesh top,14800,18100,18100,18100,18100,14800,14800,14800,22200,18100,18100,,,Tops - Material: Knit,women.womens_clothes.womens_tops
knuckle ring,22200,22200,18100,18100,14800,14800,14800,12100,14800,14800,18100,,,Jewelry - Rings: Classification,women.womens_clothes.jewelry.rings
ear crawler,5400,8100,6600,6600,6600,6600,8100,8100,8100,12100,18100,,,Jewelry - Earrings: Classification,women.womens_clothes.jewelry.earrings
levis shirt,9900,9900,12100,12100,12100,12100,12100,12100,18100,18100,18100,,,,men.mens_clothes.mens_shirts
swim cover up,40500,60500,40500,49500,74000,60500,40500,22200,14800,14800,18100,,,Swimwear - Classification,women.womens_clothes.swimsuits.swimsuit_coverups
yoga top,18100,14800,14800,14800,12100,12100,14800,14800,14800,18100,18100,,,Activewear - Classification,women.womens_clothes
mens diamond earrings,9900,8100,6600,6600,6600,6600,8100,8100,9900,14800,18100,,,Mens - Earrings,men.mens_clothes.mens_watches_and_jewelry.mens_jewelry
updo,18100,18100,22200,27100,18100,18100,18100,22200,22200,18100,18100,,,Beauty - Hair Styles,women.womens_beauty.hair_accessories
side braid,12100,12100,14800,18100,18100,18100,18100,14800,18100,14800,18100,,,Beauty - Hair Styles,women.womens_clothes
maracuja oil,12100,14800,12100,9900,9900,9900,9900,9900,9900,14800,18100,,,Beauty - Beauty Ingredients,women.womens_beauty.skin_care
mens tweed jacket,9900,9900,6600,6600,5400,5400,6600,9900,18100,18100,18100,,,Mens - Jackets and Vests: Material,men.mens_clothes.mens_outerwear.mens_jackets
age spots,18100,18100,22200,22200,22200,22200,22200,18100,18100,18100,18100,,,Beauty - Skin Problems,women.womens_beauty.skin_care
prom shoes,90500,135000,165000,90500,40500,18100,14800,22200,22200,18100,18100,,,Shoes - Occasion,women.womens_shoes
waterfall cardigan,9900,12100,14800,14800,12100,9900,14800,18100,27100,22200,18100,,,Sweaters and Cold Weather Knits - Silhouette,women.womens_clothes.sweaters.cardigan_sweaters
mens boot socks,4400,3600,2400,1900,1900,2400,3600,4400,6600,12100,18100,,,Mens - Socks: Classification,men.mens_shoes.mens_boots
black sweater dress,5400,2400,1000,590,590,720,1900,5400,12100,18100,18100,,,,women.womens_clothes.dresses
sunspots,18100,22200,22200,22200,22200,22200,22200,18100,22200,18100,18100,,,Beauty - Skin Problems,women
plus size cardigan,9900,12100,12100,12100,9900,9900,12100,14800,22200,22200,18100,,,Clothing - Plus Size,women.womens_clothes.plus_sizes.plus_size_sweaters
long sleeve romper,9900,12100,14800,14800,14800,14800,18100,18100,14800,18100,18100,,,Romper and Jumpsuits - Silhouette,women.womens_clothes.shorts
leather shorts,18100,22200,18100,18100,18100,18100,22200,22200,33100,18100,18100,,,Shorts - Material,women.womens_clothes.shorts
mens chinos,18100,22200,22200,22200,22200,18100,18100,14800,18100,18100,18100,,,Mens - Basic,men.mens_clothes.mens_pants.mens_chinos_and_khakis
dog tag necklace,8100,8100,8100,8100,8100,9900,9900,9900,12100,12100,18100,,,Jewelry - Necklace: Classification,women.womens_clothes.jewelry.necklaces
leather sneakers,9900,12100,12100,12100,9900,12100,14800,14800,18100,18100,18100,,,Shoes - Sneakers: Materials,women.womens_shoes.womens_sneakers
mens laptop bag,6600,6600,5400,5400,6600,5400,6600,6600,8100,12100,18100,,,Mens - Bags: Classification,men.mens_bags
dark grey,9900,12100,12100,9900,9900,12100,12100,12100,14800,14800,18100,,,Trends - Color,women.womens_clothes
high rise jeans,12100,14800,12100,12100,9900,9900,14800,14800,14800,18100,18100,,,,women.womens_clothes.jeans
blending,18100,18100,14800,14800,18100,14800,14800,18100,18100,22200,18100,,,Beauty - Contouring Techniques,women.womens_clothes
check shirt,9900,12100,9900,12100,9900,12100,12100,12100,27100,22200,18100,,,,men.mens_clothes.mens_shirts
plus size sequin dress,4400,4400,4400,3600,2900,4400,5400,6600,8100,14800,18100,,,Dresses - Plus Size,women.womens_clothes.plus_sizes.plus_size_dresses
navy suit,14800,18100,18100,22200,18100,18100,18100,18100,18100,18100,18100,,,Suiting - Classification & Material,men.mens_clothes.mens_suits
full figure bras,27100,18100,18100,18100,22200,18100,27100,22200,18100,18100,18100,,,,women.womens_clothes.womens_intimates.bras
cropped top,14800,18100,18100,18100,18100,18100,18100,14800,18100,14800,18100,,,,women.womens_clothes.womens_tops
mens western shirts,9900,9900,9900,9900,9900,9900,9900,12100,12100,14800,18100,,,,men.mens_clothes.mens_shirts
wingtip,14800,18100,14800,14800,14800,14800,14800,14800,22200,18100,18100,,,,men.mens_shoes.mens_lace_up_shoes
stretch pants,9900,12100,9900,9900,8100,9900,9900,12100,14800,18100,18100,,,Pants - Silhouette,women.womens_clothes.womens_pants
lounge wear,5400,6600,6600,6600,5400,6600,8100,8100,12100,14800,18100,,,Mens - Sleepwear: Classification,women.womens_clothes
samsung galaxy case,14800,14800,12100,40500,22200,22200,27100,18100,22200,18100,18100,,,Tech Accessories - Classification,women
slicked back hair,12100,14800,12100,12100,12100,12100,12100,12100,14800,14800,18100,,,Beauty - Hair Styles,women.womens_clothes
cross trainers,22200,27100,27100,22200,18100,18100,18100,18100,18100,18100,18100,,,Shoes - Athletic: Classification,women.womens_shoes.womens_sneakers
mineral foundation,18100,18100,18100,18100,14800,14800,14800,14800,18100,18100,18100,,,Beauty - Color Cosmetics: Face,women.womens_beauty.makeup.face_makeup
high waisted skirt,14800,18100,18100,18100,18100,18100,14800,14800,18100,14800,18100,,,Skirts - Silhouette,women.womens_clothes.skirts
small suitcase,18100,22200,18100,18100,18100,18100,18100,18100,18100,18100,18100,,,Luggage - Classification,living
grey jeans,12100,14800,12100,12100,9900,9900,12100,14800,22200,18100,18100,,,Denim and Jeans - Wash & Embellishment,women.womens_clothes.jeans
monk strap shoes,12100,14800,12100,12100,12100,9900,12100,14800,14800,14800,18100,,,Mens - Shoes,men.mens_shoes.mens_slip_ons_shoes
short cuts,18100,18100,18100,18100,18100,18100,14800,14800,14800,14800,18100,,,,women.womens_clothes
buy one get one free,9900,12100,12100,12100,9900,12100,12100,9900,12100,18100,18100,,,Trends - Promotion,women.womens_beauty
shawl collar sweater,5400,2900,2400,1300,1000,1300,2400,3600,8100,14800,18100,,,Sweaters and Cold Weather Knits - Silhouette,men.mens_clothes.mens_sweaters
silk shirt,9900,12100,12100,14800,12100,12100,12100,12100,18100,18100,18100,,,Tops - Material: Woven,women.womens_clothes.womens_tops
blow out hair,6600,9900,8100,9900,9900,9900,9900,9900,12100,12100,18100,,,Beauty - Hair Styles,women.womens_beauty.hair_care
silk underwear,12100,9900,8100,8100,8100,8100,9900,9900,14800,18100,18100,,,Intimates - Panties: Silhouette,men.mens_clothes.mens_underwear_and_socks.mens_boxers
brow kit,9900,9900,8100,8100,8100,8100,9900,9900,9900,14800,18100,,,,women.womens_beauty
bleached hair,9900,12100,12100,12100,14800,14800,14800,12100,12100,14800,18100,,,Beauty - Hair Styles,women.womens_beauty.hair_care
velvet pants,4400,3600,2900,2400,2400,2400,3600,5400,9900,18100,18100,,,Pants - Material,women.womens_clothes.womens_pants
plus size wedding dress,27100,22200,18100,18100,18100,22200,18100,22200,22200,14800,18100,,,"Dresses - Plus Size,Clothing - Plus Size",women.womens_clothes.plus_sizes.plus_size_dresses
silk panties,14800,14800,14800,14800,14800,14800,14800,14800,18100,14800,18100,,,Intimates - Panties: Silhouette,women.womens_clothes.womens_intimates.panties
black onyx ring,12100,9900,8100,9900,8100,9900,8100,8100,9900,14800,18100,,,Jewelry - Rings: Material & Color,women.womens_clothes.jewelry.rings
mens bowling shoes,14800,14800,12100,12100,12100,9900,12100,18100,14800,14800,18100,,,Mens - Athletic Shoes,men.mens_shoes
tsovet,12100,14800,14800,12100,12100,14800,12100,12100,12100,14800,18100,,,,men.mens_clothes.mens_watches_and_jewelry
mens gym bag,6600,6600,5400,5400,5400,5400,5400,5400,6600,12100,18100,,,Mens - Bags: Classification,men.mens_bags.mens_sports_bags
sweet cheeks,14800,12100,12100,12100,12100,12100,12100,12100,14800,18100,18100,,,,women.womens_beauty.makeup
red watch,12100,12100,9900,9900,9900,12100,9900,9900,14800,14800,18100,,,,men.mens_clothes.mens_watches_and_jewelry
swing coat,8100,6600,4400,3600,2400,2900,5400,9900,22200,27100,18100,,,Outerwear - Coats: Silhouette,women.womens_clothes.womens_outerwear.coats
bandage skirt,14800,18100,14800,14800,14800,14800,14800,14800,14800,14800,18100,,,Skirts - Silhouette,women.womens_clothes.skirts
acid wash jeans,18100,22200,22200,18100,18100,18100,18100,18100,22200,18100,18100,,,Denim and Jeans - Wash & Embellishment,women.womens_clothes.jeans
mens raincoat,6600,12100,9900,9900,9900,8100,9900,12100,18100,18100,18100,,,Mens - Coats: Material,men.mens_clothes.mens_outerwear.mens_overcoats_and_trenchcoats
slim jeans,14800,18100,27100,14800,14800,14800,14800,14800,18100,18100,18100,,,,men.mens_clothes.mens_jeans.mens_slim_jeans
bluetooth smartwatch,4400,4400,4400,4400,6600,6600,6600,6600,8100,12100,18100,,,,men.mens_clothes.mens_watches_and_jewelry.mens_watches
strappy sandals,22200,40500,49500,49500,49500,49500,40500,27100,18100,18100,18100,,,Shoes - Sandals: Classification,women.womens_shoes.sandals
short rain boots,8100,14800,12100,6600,6600,5400,8100,14800,22200,22200,18100,,,,women.womens_shoes.boots
t strap heels,18100,18100,18100,14800,12100,12100,12100,18100,22200,18100,18100,,,Shoes - Evening: Classification,women.womens_shoes.sandals
plus size jumpsuits,18100,27100,27100,27100,22200,18100,22200,18100,18100,18100,18100,,,Clothing - Plus Size,women.womens_clothes.plus_sizes.plus_size_pants
face oil,12100,12100,12100,9900,8100,9900,9900,9900,14800,14800,18100,,,Beauty - Skin Care Products,women.womens_beauty.skin_care.face_care
meggings,18100,14800,14800,14800,12100,12100,14800,12100,18100,18100,18100,,,,women.womens_clothes
plus size underwear,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,18100,,,"Intimates - Classification,Clothing - Plus Size",women.womens_clothes.plus_sizes
mens workout pants,8100,8100,5400,4400,4400,4400,4400,5400,9900,14800,18100,,,Mens - Pants,
mens slacks,8100,9900,9900,9900,9900,9900,12100,12100,12100,14800,18100,,,Mens - Pants,
metallic dress,6600,8100,6600,6600,5400,6600,8100,12100,22200,18100,22200,,,Dresses - Embellishment,women.womens_clothes.dresses
corduroy jacket,9900,9900,9900,8100,6600,8100,9900,12100,22200,27100,22200,,,Outerwear - Jackets and Vests: Material,women.womens_clothes.jackets
mens gold bracelets,12100,9900,8100,9900,9900,9900,9900,9900,12100,18100,22200,,,Mens - Bracelets: Material & Color,men.mens_clothes.mens_watches_and_jewelry
retro dress,18100,22200,22200,22200,18100,22200,22200,18100,27100,22200,22200,,,Dresses - Silhouette,women.womens_clothes.dresses
long sleeve jumpsuit,9900,8100,8100,8100,6600,6600,8100,12100,18100,22200,22200,,,Romper and Jumpsuits - Silhouette,women.womens_clothes.womens_pants
oily skin,18100,22200,22200,27100,27100,27100,27100,27100,27100,22200,22200,,,Beauty - Skin Problems,women.womens_beauty.skin_care
mens compression shorts,14800,18100,18100,14800,18100,18100,22200,18100,14800,18100,22200,,,"Mens - Activewear: Classification,Mens - Shorts: Silhouette",men.mens_clothes
eyebrow tint,22200,22200,22200,22200,22200,27100,27100,22200,22200,22200,22200,,,Beauty - Color Cosmetics: Eyes,women.womens_beauty.makeup.eye_makeup
feather dress,9900,9900,8100,9900,6600,6600,8100,9900,18100,22200,22200,,,Dresses - Embellishment,women.womens_clothes.dresses
paddleboard,18100,27100,27100,40500,60500,60500,49500,27100,14800,18100,22200,,,,living
kneeboard,18100,18100,18100,27100,40500,49500,40500,18100,14800,22200,22200,,,,kids_and_baby.kids_bedroom.kids_and_baby_bedding
yellow gold,18100,12100,12100,12100,9900,12100,12100,12100,14800,18100,22200,,,,women.womens_clothes.jewelry
face brushes,8100,9900,9900,9900,8100,12100,12100,12100,14800,22200,22200,,,,women.womens_beauty.beauty_tools.beauty_tools_brushes_applicators
fringes,22200,22200,22200,22200,18100,22200,22200,22200,27100,22200,22200,,,,women.womens_clothes
headwrap,14800,14800,14800,14800,14800,14800,12100,12100,14800,18100,22200,,,,women.womens_beauty.hair_accessories
mens ankle boots,18100,12100,9900,9900,8100,9900,12100,14800,22200,22200,22200,,,"Mens - Boots,Mens - Casual Shoes",men.mens_shoes.mens_boots
open toe booties,12100,18100,18100,18100,12100,14800,27100,33100,27100,22200,22200,,,Shoes - Booties: Classification,women.womens_shoes.boots
long lasting lipstick,14800,12100,12100,12100,12100,14800,14800,14800,22200,22200,22200,,,Beauty - Color Cosmetics: Lips,women.womens_beauty.makeup.lip_products.lipstick
mens thong underwear,18100,14800,14800,14800,14800,14800,12100,14800,18100,18100,22200,,,,men.mens_clothes.mens_underwear_and_socks.mens_briefs
leopard flats,18100,22200,18100,12100,9900,12100,22200,33100,33100,27100,22200,,,Shoes - Flats: Embellishment,women.womens_shoes.flats
faux fur boots,8100,2900,1000,880,720,1300,2900,6600,14800,27100,22200,,,"Shoes - Boots: Materials,Shoes - Tall Boots: Classification",women.womens_shoes.boots
sweater jacket,6600,6600,5400,3600,2900,3600,6600,12100,18100,22200,22200,,,Sweaters and Cold Weather Knits - Silhouette,women.womens_clothes.jackets
circle skirt,22200,27100,22200,22200,22200,22200,22200,22200,27100,22200,22200,,,Skirts - Silhouette,women.womens_clothes.skirts
japanese beauty,18100,22200,22200,22200,18100,18100,18100,18100,18100,18100,22200,,,,women.womens_beauty
makeup contouring,18100,18100,18100,14800,18100,18100,18100,18100,18100,18100,22200,,,Beauty - Contouring Techniques,women.womens_beauty.makeup
womens plus size jeans,9900,9900,6600,5400,4400,5400,8100,12100,14800,18100,22200,,,,women.womens_clothes.plus_sizes
mens combat boots,12100,12100,8100,9900,8100,9900,12100,14800,22200,22200,22200,,,Mens - Shoes,men.mens_shoes.mens_boots
wallet phone case,6600,8100,8100,8100,8100,9900,12100,12100,12100,14800,22200,,,Tech Accessories - Classification,women.womens_clothes.womens_accessories.womens_tech_accessories
double breasted coat,8100,6600,6600,4400,5400,8100,9900,14800,40500,27100,22200,,,Outerwear - Coats: Silhouette,women.womens_clothes.womens_outerwear.coats
mens zip up hoodie,4400,3600,3600,2900,2900,2900,4400,6600,9900,14800,22200,,,Mens - Activewear: Classification,men.mens_clothes.mens_sweatshirts
pitti uomo,22200,18100,22200,33100,74000,22200,14800,18100,18100,18100,22200,,,,
denim jumpsuit,33100,49500,40500,33100,33100,33100,33100,40500,40500,27100,22200,,,,women.womens_clothes
gaucho pants,22200,33100,40500,40500,33100,33100,33100,27100,27100,22200,22200,,,Pants - Silhouette,women.womens_clothes.womens_pants.cropped_pants
earring set,6600,6600,6600,6600,5400,6600,6600,8100,9900,18100,22200,,,Jewelry - Earrings: Classification,women.womens_clothes.jewelry.earrings
lace crop top,27100,33100,27100,27100,27100,27100,22200,22200,27100,22200,22200,,,Tops - Material: Woven,women.womens_clothes.womens_tops
blemishes,22200,22200,22200,22200,18100,18100,18100,22200,22200,22200,22200,,,Beauty - Skin Problems,women.womens_beauty.skin_care.face_care.face_oil_blemish_control
plus size blouses,40500,22200,27100,27100,22200,22200,22200,22200,22200,22200,22200,,,Clothing - Plus Size,women.womens_clothes.plus_sizes.plus_size_tops
fleece gloves,9900,4400,1900,1900,1900,1900,2400,3600,9900,22200,22200,,,Cold Weather Accessories - Gloves: Material,women.womens_clothes.womens_accessories.gloves
mens no show socks,6600,9900,14800,18100,18100,18100,18100,14800,9900,14800,22200,,,Mens - Socks: Classification,men.mens_clothes.mens_underwear_and_socks.mens_socks
golden globe awards,14800,4400,3600,3600,4400,3600,3600,4400,3600,4400,22200,,,,
best moisturizer,18100,18100,18100,14800,18100,22200,22200,18100,22200,33100,22200,,,,women.womens_beauty
snakeskin boots,12100,12100,8100,8100,8100,8100,9900,12100,18100,22200,22200,,,Shoes - Boots: Materials,women.womens_shoes.boots
tribal print,18100,18100,18100,18100,14800,14800,18100,18100,14800,18100,22200,,,Trends - Prints & Color,women.womens_clothes
flat sandals,33100,49500,60500,60500,60500,60500,49500,33100,22200,22200,22200,,,Shoes - Sandals: Classification,women.womens_shoes.sandals
short sleeve shirt,9900,18100,22200,22200,27100,22200,18100,12100,14800,18100,22200,,,Tops - Silhouette,men.mens_clothes.mens_shirts
illuminator,14800,14800,12100,12100,12100,14800,14800,18100,18100,22200,22200,,,Beauty - Contouring Products,women.womens_beauty
brits,90500,22200,18100,18100,14800,18100,18100,18100,18100,18100,22200,,,Events - Red Carpet Hashtags,women.womens_clothes
underwear for women,49500,40500,33100,40500,33100,40500,27100,22200,22200,27100,22200,,,,women.womens_clothes
cropped jeans,14800,22200,27100,33100,33100,27100,22200,18100,22200,18100,22200,,,Denim and Jeans - Classification,women.womens_clothes.jeans.cropped_jeans
tweed suit,18100,18100,18100,18100,14800,14800,18100,18100,27100,27100,22200,,,Suiting - Classification & Material,women.womens_clothes.womens_suits
bohemian dress,22200,33100,33100,33100,27100,27100,27100,22200,22200,18100,22200,,,,women.womens_clothes.dresses
blotting paper,18100,22200,18100,22200,22200,22200,27100,22200,22200,22200,22200,,,Beauty - Korean,women.womens_beauty
hair relaxer,22200,22200,22200,22200,22200,22200,22200,18100,22200,22200,22200,,,Beauty - Hair Products,women.womens_beauty.hair_care
beaded dress,18100,18100,14800,14800,12100,14800,14800,18100,22200,27100,22200,,,Dresses - Embellishment,women.womens_clothes.dresses
eyebrow stencil,18100,22200,18100,18100,18100,18100,18100,14800,22200,22200,22200,,,Beauty - Color Cosmetics: Eyes,women.womens_beauty
waterproof eyeliner,22200,22200,22200,22200,27100,27100,27100,22200,22200,18100,22200,,,Beauty - Color Cosmetics: Eyes,women.womens_beauty.makeup.eye_makeup.eyeliner
leather booties,8100,8100,4400,3600,3600,5400,9900,14800,22200,27100,22200,,,Shoes - Booties: Materials,women.womens_shoes.boots
knit dress,8100,9900,9900,12100,12100,9900,9900,14800,27100,27100,22200,,,Dresses - Silhouette,women.womens_clothes.dresses
vintage t shirt,14800,14800,18100,18100,22200,22200,22200,18100,27100,22200,22200,,,,men.mens_clothes.mens_shirts.mens_tees_and_tshirts
one piece bathing suit,27100,40500,40500,49500,49500,40500,27100,18100,14800,18100,22200,,,Swimwear - Silhouette,women.womens_clothes.swimsuits.one_piece_swimsuits
suede dress,4400,5400,4400,4400,4400,6600,12100,22200,49500,27100,22200,,,Dresses -  Material,women.womens_clothes.dresses
hair tie,12100,14800,14800,14800,14800,18100,18100,14800,18100,22200,22200,,,Beauty - Hair Accessories,women.womens_beauty.hair_accessories
full zip hoodie,8100,8100,6600,6600,4400,4400,6600,9900,14800,18100,22200,,,Activewear - Classification,men.mens_clothes.mens_sweatshirts
banana chips,22200,27100,22200,22200,22200,22200,27100,22200,27100,22200,22200,,,Health Snacks - Chips,living
mens work pants,12100,12100,12100,12100,14800,14800,14800,14800,22200,22200,22200,,,"Mens - Pants,Mens - Casual Pants: Silhouette",men.mens_clothes.mens_pants
hair weave,22200,27100,27100,22200,27100,22200,22200,22200,27100,22200,22200,,,,women.womens_beauty
latex leggings,18100,18100,14800,18100,14800,14800,14800,14800,18100,18100,22200,,,Pants - Leggings,
cigarette pants,14800,22200,33100,33100,27100,27100,22200,22200,22200,22200,22200,,,Pants - Silhouette,women.womens_clothes.womens_pants
skinny ties,12100,14800,14800,14800,12100,12100,12100,14800,14800,14800,22200,,,Mens - Neckwear: Classification,men.mens_clothes.mens_ties
slouch,18100,18100,18100,18100,18100,18100,18100,22200,27100,27100,22200,,,,women.womens_shoes.boots
miraclesuit,40500,49500,60500,74000,74000,74000,49500,27100,22200,22200,22200,,,Swimwear - Silhouette,women
nameplate necklace,9900,8100,8100,8100,8100,9900,8100,9900,12100,18100,22200,,,Jewelry - Necklace: Classification,women.womens_clothes.jewelry.necklaces
detangler,18100,18100,14800,14800,18100,18100,18100,18100,18100,22200,22200,,,Beauty - Hair Products,women.womens_beauty.hair_care.hair_styling_tools.hair_styling_tools_brushes_combs
mesh dress,18100,22200,18100,18100,14800,14800,14800,14800,18100,22200,22200,,,Dresses - Embellishment,women.womens_clothes.dresses
wrap coat,8100,6600,3600,2400,1900,2900,5400,12100,22200,27100,22200,,,Outerwear - Coats: Silhouette,women.womens_clothes.womens_outerwear.coats
silk tie,14800,18100,14800,14800,12100,12100,14800,14800,18100,22200,22200,,,,men.mens_clothes.mens_ties
eyebrow shaping,14800,14800,18100,18100,18100,22200,22200,22200,27100,22200,22200,,,Beauty - Treatments,women.womens_beauty
popsugar must have,12100,9900,9900,12100,12100,14800,14800,14800,14800,18100,22200,,,Trends - Gifting: Beauty Sets,
mens waterproof jacket,9900,9900,9900,12100,9900,12100,14800,18100,22200,27100,22200,,,Mens - Jackets and Vests: Material,men.mens_clothes.mens_outerwear.mens_jackets
satin blouse,18100,22200,18100,18100,18100,18100,18100,18100,27100,22200,22200,,,Tops - Material: Woven,women.womens_clothes.womens_tops
jersey dress,27100,33100,33100,33100,33100,33100,27100,27100,27100,22200,22200,,,Dresses -  Material,women.womens_clothes.dresses
babydoll dress,18100,22200,22200,22200,22200,22200,22200,18100,33100,22200,22200,,,Dresses - Silhouette,women.womens_clothes.dresses
leather sandals,22200,40500,49500,60500,60500,49500,33100,22200,22200,22200,22200,,,Shoes - Sandals: Materials,women.womens_shoes.sandals
lingerie sets,22200,14800,14800,14800,12100,14800,14800,14800,18100,18100,22200,,,Intimates - Classification,women.womens_clothes.womens_intimates
dry lips,18100,22200,18100,14800,14800,14800,14800,14800,18100,22200,22200,,,Beauty - Lip Problems,women.womens_beauty.makeup.lip_products
gorjana,14800,18100,14800,14800,12100,14800,14800,12100,12100,14800,22200,,,,women
strapless dress,22200,33100,33100,40500,40500,33100,33100,27100,27100,22200,22200,,,Dresses - Silhouette,women.womens_clothes.dresses
wedding jewelry,33100,40500,40500,40500,33100,33100,33100,33100,27100,27100,22200,,,Jewelry - Classification,women.womens_clothes.jewelry.rings
mens ankle socks,8100,9900,14800,18100,18100,18100,18100,12100,12100,14800,22200,,,Mens - Socks: Classification,men.mens_clothes.mens_underwear_and_socks.mens_socks
running vest,9900,12100,12100,9900,9900,9900,12100,12100,18100,22200,22200,,,,women.womens_clothes.jackets.vests
cleansing oil,18100,22200,18100,18100,18100,18100,22200,22200,22200,27100,22200,,,Beauty - Skin Care Products,women.womens_beauty.skin_care
waterfall coat,18100,27100,18100,14800,8100,6600,12100,27100,33100,33100,22200,,,Outerwear - Coats: Silhouette,women.womens_clothes.womens_outerwear.coats
mens mittens,14800,3600,590,720,480,720,1000,2400,6600,18100,22200,,,Mens - Coldweather Accessories,men.mens_clothes.mens_accessories.mens_gloves_and_scarves
ladylike,22200,22200,22200,22200,27100,22200,22200,27100,27100,22200,22200,,,,women.womens_clothes
leather shoulder bag,14800,14800,14800,14800,12100,14800,14800,14800,18100,22200,22200,,,Handbags - Material,women.handbags.shoulder_bags
belt bag,18100,22200,27100,27100,33100,33100,27100,27100,22200,22200,22200,,,Handbags - Classification,women.handbags
cashmere coat,9900,6600,3600,3600,3600,4400,5400,9900,27100,27100,22200,,,Outerwear - Coats: Material,women.womens_clothes.womens_outerwear.coats
body cream,18100,14800,14800,18100,18100,22200,18100,14800,18100,22200,22200,,,,women.womens_beauty.bath_body
pencil sharpeners,14800,14800,12100,12100,12100,18100,27100,18100,18100,27100,22200,,,,women.womens_beauty.beauty_tools.beauty_tools_sharpeners
one shoulder dress,22200,27100,27100,27100,22200,22200,27100,22200,27100,27100,22200,,,Dresses - Silhouette,women.womens_clothes.dresses
blue watch,12100,14800,12100,12100,12100,12100,12100,9900,12100,18100,22200,,,Accessories - Watches: Material & Color,men.mens_clothes.mens_watches_and_jewelry
