,trend,total_volume,social_buzz,retail_distribution
2862,plus size skinny jeans,91700.0,11,839
2863,embellished top,66200.0,32,6006
2864,fransen,184600.0,68,5
2865,headscarf,116300.0,35,41
2866,mens hoop earrings,87400.0,0,41
2867,black onyx earrings,71200.0,3,551
2868,high waisted,175300.0,618,45050
2869,plus size vest,58600.0,0,184
2870,womens briefs,86200.0,0,10278
2871,boyfriend shirt,122100.0,19,1299
2872,lace up sandals,345600.0,294,4316
2873,screen actors guild awards,31600.0,3,0
2874,bb cushion,115900.0,14,29
2875,minnowboard max,117100.0,0,0
2876,jasmine oil,98500.0,3,882
2877,mary jane pumps,165400.0,5,1180
2878,feathered hair,100300.0,2,99
2879,boyfriend jean,195200.0,49,2343
2880,hooded cape,119200.0,1,109
2881,lip biting,111500.0,0,41
2882,udoo,143900.0,0,0
2883,calendula oil,133100.0,0,667
2884,cold shoulder dress,181700.0,49,3885
2885,mens silk scarf,53000.0,0,1644
2886,french cuff dress shirt,103900.0,15,1761
2887,alpaca sweater,53800.0,5,1865
2888,neck cream,124300.0,16,4737
2889,mens high tops,82000.0,0,3725
2890,blue eyeshadow,98300.0,40,144
2891,oversized shirt,143900.0,40,2629
2892,work shirt,155800.0,37,2896
2893,lavender dress,253100.0,11,472
2894,chino shorts,271700.0,28,3183
2895,dd cream,159000.0,1,19
2896,fringe jacket,134800.0,81,2025
2897,mens pajama shorts,49600.0,0,198
2898,coated jeans,78300.0,12,923
2899,arnica oil,117700.0,1,128
2900,peach and lily,100800.0,6,156
2901,double breasted blazer,118600.0,52,1954
2902,mens denim shorts,230400.0,0,2178
2903,square frame,87400.0,44,4761
2904,drop waist dress,166700.0,21,2359
2905,ceramic curling iron,82000.0,0,567
2906,peep toe heels,127500.0,13,9988
2907,best gift,46900.0,76,64
2908,mens beanie hat,39520.0,0,2376
2909,shaving gift set,26800.0,2,67
2910,bamboo charcoal,114500.0,11,127
2911,swim skirt,307200.0,14,589
2912,calvin klein belt,89900.0,0,822
2913,iope air cushion,151800.0,3,5
2914,cuffed jeans,98800.0,31,1494
2915,ripstop,152000.0,45,1502
2916,lace leggings,155900.0,9,133
2917,mens stud earrings,81500.0,0,152
2918,calvin klein coat,52800.0,2,178
2919,studded boots,90700.0,17,3330
2920,asymmetrical dress,170000.0,42,7511
2921,mens shearling coat,57000.0,0,88
2922,chunky sweater,64000.0,34,1713
2923,mens pinky rings,75700.0,0,10
2924,balding,124300.0,47,167
2925,mens stainless steel rings,84100.0,0,739
2926,twill pants,116300.0,16,7223
2927,mens leather coat,65700.0,0,1124
2928,bell bottom pants,130400.0,5,148
2929,merino wool sweater,54200.0,8,2886
2930,best self tanner,245200.0,16,115
2931,quilted coat,67300.0,8,1065
2932,cable sweater,47580.0,38,2127
2933,sleeveless sweater,59200.0,30,4332
2934,green lace dress,104400.0,6,818
2935,baking makeup,71230.0,8,444
2936,minaudiere,142800.0,53,449
2937,face highlighter,75100.0,7,781
2938,large tote,113700.0,22,2766
2939,13 inch laptop bag,87700.0,0,65
2940,sweater skirt,42840.0,45,4141
2941,nutrition bar,151000.0,4,11
2942,open back dress,139500.0,52,7150
2943,hair powder,115500.0,7,646
2944,colored jeans,153700.0,10,27781
2945,high waist leggings,96900.0,15,702
2946,motorcycle jeans,168500.0,0,16
2947,pinstripe suit,134400.0,10,821
2948,sheer blouse,136300.0,27,3262
2949,cold shoulder top,141700.0,95,6129
2950,leather band watch,70800.0,3,4999
2951,carrot seed oil,180800.0,1,91
2952,mens rose gold watch,70800.0,0,2327
2953,heeled booties,68000.0,18,4910
2954,sun protection,151700.0,152,2076
2955,lunargrand,134600.0,0,42
2956,french terry,107400.0,124,4153
2957,empire waist,141200.0,38,4059
2958,homemade lip balm,76900.0,2,17
2959,dark green dress,96900.0,0,355
2960,highlighting,121700.0,530,2505
2961,hamsa bracelet,103900.0,1,171
2962,loop scarf,46600.0,6,395
2963,waterproof smartwatch,79000.0,0,4
2964,thong sandals,261800.0,40,10322
2965,felle,105600.0,1,346
2966,lip palette,85100.0,31,439
2967,bikini underwear,93700.0,0,227
2968,love knot ring,58700.0,4,158
2969,collar dress,111000.0,59,48519
2970,maternity yoga pants,86800.0,0,77
2971,peplum jacket,137000.0,9,691
2972,maxi cardigan,141700.0,7,129
2973,eyeliner tattoo,122600.0,1,15
2974,boyfriend coat,103600.0,3,83
2975,avocado face mask,139600.0,2,50
2976,ankle pants,233700.0,44,6356
2977,harness boots,90000.0,4,1011
2978,foldable flats,118100.0,13,136
2979,mens leather pants,126800.0,0,890
2980,bnwt,119500.0,0,11
2981,green watch,90700.0,1,2029
2982,sleeveless dress,132800.0,255,93305
2983,shawl cardigan,72500.0,11,1196
2984,15 inch laptop bag,73600.0,0,75
2985,equestrian boots,93000.0,0,425
2986,17 inch laptop sleeve,99500.0,0,27
2987,petite jumpsuit,128800.0,0,477
2988,chain bracelet,98900.0,62,8895
2989,ivory dress,143900.0,24,8726
2990,work dress,167300.0,27,2610
2991,plus size swimsuit,325400.0,20,2351
2992,tall leggings,51000.0,0,240
2993,wool dress,85000.0,25,15526
2994,jogging shoes,100300.0,0,50
2995,face cleansers,52600.0,39,1892
2996,fisherman sweater,62100.0,7,90
2997,tinted lip balm,103900.0,22,243
2998,brown dress,207200.0,14,6398
2999,lace jumpsuit,108000.0,41,538
3000,leather strap watch,79000.0,12,9456
3001,tank dress,269500.0,175,3208
3002,high low dress,215100.0,26,2949
3003,mens casual pants,75700.0,0,44218
3004,pop chips,163400.0,0,12
3005,geranium oil,128700.0,2,601
3006,canvas sneakers,156400.0,35,3677
3007,the wand,79300.0,46,184
3008,aviator glasses,127400.0,4,3548
3009,graphic t shirt,100300.0,30,12437
3010,long maxi dress,183500.0,10,1650
3011,nursing cami,106200.0,27,158
3012,lip mask,69700.0,30,60
3013,charcoal grey,100300.0,18,3520
3014,foot lotion,72200.0,3,90
3015,mens wool jacket,47600.0,0,3158
3016,turtleneck sweater dress,58900.0,4,130
3017,ylang-ylang oil,91900.0,0,382
3018,kids choice awards,740900.0,4,89
3019,men's dress shirt,70800.0,0,11182
3020,leather moto jacket,81300.0,55,979
3021,paisley print,103000.0,103,6086
3022,sun cream,348200.0,17,2148
3023,black eyeliner,118800.0,45,1156
3024,pressed powder,138500.0,78,410
3025,boxer underwear,94800.0,2,5824
3026,platform pumps,169300.0,34,3555
3027,wrap skirt,217900.0,153,2913
3028,asymmetrical sweater,45440.0,1,1887
3029,slim fit dress shirt,121300.0,2,3226
3030,flared skirt,141200.0,65,4535
3031,dried mango,185900.0,3,35
3032,athleisure,117200.0,687,107
3033,tuxedo jacket,103800.0,16,383
3034,dry hair,162800.0,208,9190
3035,cut-out dress,155900.0,84,12783
3036,peep toe boots,183500.0,17,1819
3037,zip wallet,105200.0,38,6261
3038,blue mascara,140000.0,13,143
3039,mens tank top,221100.0,0,3256
3040,ponytail holder,139000.0,6,183
3041,long sleeve top,135100.0,91,44721
3042,handwarmer,56700.0,2,32
3043,seamless panties,152600.0,0,1045
3044,shearling vest,60580.0,3,958
3045,flat booties,78100.0,0,16
3046,maternity swimsuit,236600.0,5,287
3047,fleece sweater,53600.0,3,594
3048,mens boxer,74100.0,0,5824
3049,buckle boots,93400.0,10,12722
3050,emmys,784800.0,85,225
3051,mini bag,133600.0,230,10326
3052,sheer top,131900.0,77,13798
3053,ceramic watch,127900.0,2,1749
3054,glitter lipstick,70200.0,1,14
3055,rimless glasses,166700.0,0,439
3056,coral dress,477200.0,51,3653
3057,maternity sweater,64300.0,28,823
3058,gold cufflinks,116000.0,9,445
3059,wool skirt,93100.0,6,10194
3060,shimmering,108800.0,334,17280
3061,chintz,199900.0,43,140
3062,mens cross necklaces,58100.0,0,721
3063,cubic zirconia necklace,89600.0,0,4272
3064,clown contouring,126880.0,22,1
3065,sweat shorts,212900.0,15,603
3066,orange watch,105200.0,0,1457
3067,faux leather dress,86200.0,2,1478
3068,hair volume,158600.0,54,4922
3069,anthropologie bedding,226100.0,0,244
3070,macbook pro 15 sleeve,132600.0,0,11
3071,clubmaster glasses,144400.0,0,160
3072,rose hip oil,176800.0,5,292
3073,nail strengthener,166100.0,3,546
3074,fringe bag,213000.0,129,4300
3075,matte foundation,118600.0,41,649
3076,striped dress,267000.0,439,13058
3077,levis shirts,108800.0,0,351
3078,trapeze dress,184900.0,58,3414
3079,charcoal mask,123900.0,26,79
3080,car coat,89400.0,18,142
3081,womens denim jacket,184800.0,3,3606
3082,ombre dress,120800.0,24,1038
3083,open front cardigan,102300.0,10,5595
3084,mens leather watch,76000.0,0,11934
3085,how to make lip balm,143900.0,4,16
3086,cream contour,93200.0,49,1496
3087,london fashion week,390200.0,230,30
3088,white denim,119500.0,352,4297
3089,best lipstick,114600.0,140,83
3090,high heel sandals,217800.0,27,5015
3091,cut out dress,155900.0,94,12783
3092,slim fit shirts,134100.0,3,17378
3093,mens duffle coat,76200.0,0,67
3094,jelly sandals,579900.0,14,607
3095,crystal bracelet,129700.0,29,7356
3096,dangling earrings,92300.0,18,6274
3097,mens pajama,44400.0,5,2143
3098,hipster panties,116400.0,0,1766
3099,oversized sunglasses,221100.0,29,3064
3100,hair tonic,176600.0,5,94
3101,coatigan,116600.0,4,223
3102,wide leg jeans,184600.0,35,4643
3103,bikini panties,156700.0,1,2793
3104,facial toner,208000.0,23,170
3105,silver cufflinks,107900.0,4,2363
3106,plus size maxi dress,521300.0,6,814
3107,orange dress,360100.0,39,6309
3108,demi bra,143900.0,26,1622
3109,zucchini chips,479000.0,17,8
3110,mens automatic watch,114600.0,0,8054
3111,padded underwear,147700.0,0,435
3112,toiletry kit,88900.0,2,78
3113,super skinny jeans,114600.0,35,3469
3114,homecoming dress,946500.0,33,227
3115,pony tail,162800.0,34,34
3116,cream eyeshadow,152000.0,15,223
3117,concho,146600.0,107,521
3118,oversized cardigan,137800.0,13,738
3119,faux fur stole,75000.0,2,73
3120,chiffon top,244300.0,36,5226
3121,velvet coat,84800.0,1,489
3122,mens leather sandals,215700.0,0,3426
3123,terry cloth,144400.0,17,5601
3124,beaded,125100.0,1277,51255
3125,girlfriend jeans,152900.0,21,174
3126,eyebrow wax,152000.0,6,27
3127,cheeky panties,105200.0,0,706
3128,cape jacket,112300.0,4,164
3129,bulu box,140500.0,0,0
3130,mens fur coat,83000.0,0,262
3131,contour cream kit,91600.0,4,62
3132,platform booties,102500.0,2,229
3133,racerback bra,328200.0,29,916
3134,striped sweater,94800.0,71,7807
3135,maternity shorts,369600.0,18,258
3136,seamless underwear,121300.0,8,523
3137,bet awards,784200.0,8,5
3138,compact powder,106100.0,11,649
3139,military coat,101100.0,13,326
3140,bag charms,87500.0,27,3659
3141,followme,157900.0,430,2
3142,dual time watch,122600.0,0,885
3143,shading,167300.0,6510,679
3144,thermal top,69400.0,2,687
3145,racerback tank,274600.0,56,2546
3146,felt hat,147300.0,31,1152
3147,purple watch,83900.0,1,904
3148,tweed coat,86600.0,14,477
3149,beige dress,174100.0,22,11107
3150,print leggings,107100.0,25,1269
3151,cotton dress,301200.0,223,50687
3152,swollen lips,166100.0,0,8
3153,martha stewart bedding,176000.0,0,331
3154,mens slim fit jeans,88400.0,0,10244
3155,glass nails,66800.0,11,63
3156,color block,163400.0,206,9024
3157,plus size sweater,65600.0,4,3076
3158,cream blush,133600.0,29,191
3159,leopard boots,85600.0,3,647
3160,mens military jacket,101000.0,0,826
3161,mens track pants,129300.0,0,804
3162,cocoon coat,93600.0,4,242
3163,mens fedora,103700.0,0,958
3164,waterproof coat,132400.0,1,182
3165,hooded coat,80800.0,11,2552
3166,empire waist dress,222000.0,7,2326
3167,toggle coat,74800.0,0,313
3168,bag charm,84200.0,25,3659
3169,victory rolls,173500.0,3,17
3170,sport shirt,131900.0,41,8878
3171,eye serum,144400.0,47,642
3172,hair cream,137300.0,14,3127
3173,neckerchief,154000.0,29,75
3174,mens silver bracelets,76200.0,0,6153
3175,upscale,179300.0,164,1490
3176,15 inch laptop sleeve,111700.0,0,61
3177,lip exfoliator,139500.0,4,126
3178,pink watch,107600.0,10,3438
3179,leather mini skirt,117100.0,27,1579
3180,plus size coat,87080.0,3,671
3181,friends and family,151000.0,689,9796
3182,fashion backpack,158400.0,7,217
3183,lip pencil,140100.0,178,744
3184,dress coat,111700.0,21,971
3185,chloe marcie,113000.0,15,127
3186,spa gift set,45800.0,0,89
3187,teardrop earrings,130800.0,29,4227
3188,lace skirt,224500.0,143,4784
3189,vegan leather,138900.0,100,1000
3190,off the shoulder top,201500.0,515,4794
3191,leather jeans,134300.0,6,2502
3192,oversized scarf,97900.0,9,498
3193,cashmere hat,58530.0,2,388
3194,mens skate shoes,128600.0,0,1448
3195,candelabras,225300.0,34,171
3196,maternity maxi dress,392300.0,30,765
3197,cmas,280000.0,9,4
3198,matte eyeshadow,173300.0,29,423
3199,pita chips,169400.0,22,8
3200,swim dress,473000.0,4,1270
3201,light blue dress,347100.0,12,1372
3202,v neck t shirt,173900.0,22,1935
3203,embellishments,257500.0,452,41370
3204,under eye concealer,167300.0,29,293
3205,hooded cardigan,108100.0,30,508
3206,moto boots,116200.0,6,696
3207,low rise jeans,170600.0,10,1528
3208,walmart beauty box,261800.0,0,0
3209,slide sandals,195500.0,67,6769
3210,mens bootcut jeans,103800.0,0,1299
3211,slim fit shirt,179900.0,11,17378
3212,bandeau bikini,688400.0,39,2327
3213,best face wash,182600.0,5,144
3214,denim overalls,264800.0,93,601
3215,white top,220400.0,248,58590
3216,moto jeans,99000.0,3,345
3217,weekend bags,225300.0,13,2191
3218,womens briefcase,137400.0,1,485
3219,eyelet,231900.0,684,5995
3220,wool pants,118200.0,5,14118
3221,poplin,207300.0,469,6346
3222,dried figs,164000.0,2,23
3223,cotton leggings,144500.0,2,2008
3224,501 jeans,117000.0,73,107
3225,white skinny jeans,218700.0,46,1827
3226,midi ring,145000.0,33,690
3227,blue lace dress,193300.0,25,2463
3228,wireless bra,165100.0,11,979
3229,lip primer,145000.0,24,139
3230,mens desert boots,124300.0,0,711
3231,leather pencil skirt,153200.0,9,550
3232,fringe skirt,175700.0,83,1335
3233,long gloves,143900.0,1,171
3234,dried cranberries,174100.0,17,26
3235,face toners,177400.0,6,503
3236,faux leather skirt,110300.0,8,1105
3237,work shirts,237600.0,7,2896
3238,mesh top,190000.0,64,5632
3239,knuckle ring,184800.0,3,540
3240,ear crawler,94400.0,22,322
3241,levis shirt,146700.0,2,351
3242,swim cover up,435900.0,69,1148
3243,yoga top,167300.0,3,1852
3244,mens diamond earrings,103400.0,0,64
3245,updo,220400.0,645,169
3246,side braid,177200.0,80,780
3247,maracuja oil,131300.0,0,35
3248,mens tweed jacket,114600.0,0,56
3249,age spots,219600.0,30,1557
3250,prom shoes,635000.0,4,123
3251,waterfall cardigan,173900.0,5,191
3252,mens boot socks,61400.0,0,448
3253,black sweater dress,66300.0,0,861
3254,sunspots,227800.0,14,45
3255,plus size cardigan,155400.0,3,1380
3256,long sleeve romper,168400.0,22,874
3257,leather shorts,226400.0,57,1253
3258,mens chinos,212200.0,0,19868
3259,dog tag necklace,112500.0,6,284
3260,leather sneakers,152100.0,91,17312
3261,mens laptop bag,87500.0,0,2986
3262,dark grey,137900.0,110,6189
3263,high rise jeans,151500.0,44,5024
3264,blending,190000.0,426,63027
3265,check shirt,157600.0,57,10127
3266,plus size sequin dress,77100.0,1,428
3267,navy suit,199900.0,46,1792
3268,full figure bras,225300.0,6,643
3269,cropped top,189200.0,74,15012
3270,mens western shirts,126400.0,0,1069
3271,wingtip,180100.0,107,1569
3272,stretch pants,132800.0,31,22002
3273,lounge wear,98400.0,12,1112
3274,samsung galaxy case,230200.0,0,41
3275,slicked back hair,147200.0,15,41
3276,cross trainers,225300.0,5,108
3277,mineral foundation,185900.0,52,743
3278,high waisted skirt,185900.0,28,4786
3279,small suitcase,203200.0,0,85
3280,grey jeans,156200.0,28,5146
3281,monk strap shoes,147700.0,6,707
3282,short cuts,185900.0,72,5377
3283,buy one get one free,138500.0,41,73
3284,shawl collar sweater,61300.0,1,627
3285,silk shirt,151600.0,93,7555
3286,blow out hair,116400.0,5,651
3287,silk underwear,125200.0,1,38
3288,brow kit,114800.0,50,372
3289,bleached hair,147700.0,32,267
3290,velvet pants,73200.0,8,2875
3291,plus size wedding dress,221200.0,8,305
3292,silk panties,169400.0,0,652
3293,black onyx ring,117000.0,2,380
3294,mens bowling shoes,153700.0,0,27
3295,tsovet,149900.0,14,56
3296,mens gym bag,82400.0,0,481
3297,sweet cheeks,150500.0,15,82
3298,red watch,133500.0,13,3775
3299,swing coat,110700.0,1,128
3300,bandage skirt,169400.0,1,309
3301,acid wash jeans,211400.0,6,251
3302,mens raincoat,132800.0,0,286
3303,slim jeans,188300.0,92,6538
3304,bluetooth smartwatch,82300.0,0,21
3305,strappy sandals,382600.0,268,6037
3306,short rain boots,139000.0,1,101
3307,t strap heels,181900.0,12,2599
3308,plus size jumpsuits,234300.0,14,189
3309,face oil,131700.0,104,6522
3310,meggings,167900.0,1,94
3311,plus size underwear,169400.0,0,374
3312,mens workout pants,87400.0,0,284
3313,mens slacks,126800.0,0,335
3314,metallic dress,122600.0,34,9060
3315,corduroy jacket,146000.0,8,212
3316,mens gold bracelets,132000.0,0,3820
3317,retro dress,236800.0,4,1169
3318,long sleeve jumpsuit,130100.0,5,485
3319,oily skin,269500.0,259,2482
3320,mens compression shorts,197400.0,0,277
3321,eyebrow tint,254000.0,4,97
3322,feather dress,131500.0,20,681
3323,paddleboard,365500.0,49,24
3324,kneeboard,289200.0,0,0
3325,yellow gold,155700.0,485,57579
3326,face brushes,141400.0,10,2398
3327,fringes,245000.0,679,24546
3328,headwrap,168100.0,45,454
3329,mens ankle boots,161500.0,0,3189
3330,open toe booties,225000.0,8,416
3331,long lasting lipstick,174200.0,337,518
3332,mens thong underwear,177400.0,0,25
3333,leopard flats,230200.0,12,901
3334,faux fur boots,88500.0,0,2384
3335,sweater jacket,109900.0,19,1010
3336,circle skirt,254000.0,67,392
3337,japanese beauty,215500.0,10,905
3338,makeup contouring,199900.0,6,2161
3339,womens plus size jeans,116900.0,2,3396
3340,mens combat boots,153700.0,0,388
3341,wallet phone case,122200.0,1,205
3342,double breasted coat,153700.0,14,2935
3343,mens zip up hoodie,78200.0,0,805
3344,pitti uomo,283100.0,88,0
3345,denim jumpsuit,385800.0,79,617
3346,gaucho pants,334200.0,12,166
3347,earring set,103300.0,51,27377
3348,lace crop top,284500.0,47,1727
3349,blemishes,231900.0,207,206
3350,plus size blouses,272300.0,1,1759
3351,fleece gloves,82200.0,1,280
3352,mens no show socks,165400.0,0,954
3353,golden globe awards,72600.0,7,3
3354,best moisturizer,227200.0,34,3176
3355,snakeskin boots,141100.0,5,343
3356,tribal print,193300.0,42,1802
3357,flat sandals,473800.0,178,10218
3358,short sleeve shirt,207000.0,156,62977
3359,illuminator,176100.0,377,3416
3360,brits,276400.0,75,1120
3361,underwear for women,358000.0,8,5981
3362,cropped jeans,260200.0,170,7382
3363,tweed suit,214600.0,14,107
3364,bohemian dress,287500.0,31,1223
3365,blotting paper,240900.0,9,138
3366,hair relaxer,240100.0,13,601
3367,beaded dress,197100.0,62,9604
3368,eyebrow stencil,212200.0,1,44
3369,waterproof eyeliner,254800.0,28,544
3370,leather booties,129400.0,26,3805
3371,knit dress,163100.0,251,23805
3372,vintage t shirt,222000.0,15,2150
3373,one piece bathing suit,347900.0,10,10185
3374,suede dress,162700.0,62,1560
3375,hair tie,184800.0,81,428
3376,full zip hoodie,109800.0,14,908
3377,banana chips,258900.0,6,12
3378,mens work pants,174200.0,0,942
3379,hair weave,263800.0,1,181
3380,latex leggings,186700.0,0,9
3381,cigarette pants,268400.0,14,369
3382,skinny ties,159400.0,2,1014
3383,slouch,225300.0,314,674
3384,miraclesuit,515700.0,72,628
3385,nameplate necklace,122600.0,7,116
3386,detangler,200700.0,111,490
3387,mesh dress,198200.0,90,6667
3388,wrap coat,114500.0,19,600
3389,silk tie,178800.0,155,12839
3390,eyebrow shaping,222000.0,8,580
3391,popsugar must have,155600.0,2,0
3392,mens waterproof jacket,168200.0,0,1432
3393,satin blouse,220400.0,3,1507
3394,jersey dress,318300.0,138,32845
3395,babydoll dress,246900.0,39,579
3396,leather sandals,404600.0,260,74059
3397,lingerie sets,181500.0,21,485
3398,dry lips,194900.0,43,1013
3399,gorjana,165400.0,180,1674
3400,strapless dress,334200.0,132,6149
3401,wedding jewelry,363400.0,24,4330
3402,mens ankle socks,166400.0,0,1472
3403,running vest,150500.0,1,54
3404,cleansing oil,228600.0,95,3399
3405,waterfall coat,220400.0,2,92
3406,mens mittens,71210.0,0,158
3407,ladylike,258900.0,231,2335
3408,leather shoulder bag,178200.0,105,31051
3409,belt bag,281500.0,43,1282
3410,cashmere coat,123400.0,12,1306
3411,body cream,201500.0,43,8835
3412,pencil sharpeners,196600.0,11,102
3413,one shoulder dress,273600.0,44,3634
3414,blue watch,149700.0,14,7554
3415,workout shorts,265700.0,2,562
3416,cocktail ring,145300.0,54,3537
3417,tablet bag,168700.0,0,1459
3418,maternity tights,152300.0,0,100
3419,bell bottom jeans,255900.0,1,141
3420,mens loungewear,60400.0,0,211
3421,black shorts,386400.0,32,8226
3422,dark green,184200.0,82,2997
3423,cords,203100.0,142,7224
3424,ceramic flat iron,140800.0,1,484
3425,satin dress,206400.0,53,13102
3426,mens activewear,108400.0,1,14799
3427,cold brew,270100.0,111,98
3428,v neck dress,204000.0,144,16685
3429,mens down vest,72100.0,0,442
3430,stainless steel watch,166800.0,11,30198
3431,24k gold,178200.0,138,1791
3432,lotion gift set,38800.0,0,251
3433,face serum,210500.0,40,2967
3434,18k gold,176800.0,426,42381
3435,dark brown,197400.0,240,4997
3436,patterned leggings,141600.0,3,830
3437,mens brogues,202900.0,1,1832
3438,georgette,263800.0,149,5443
3439,pullover sweater,120400.0,35,9008
3440,denim leggings,168600.0,29,1976
3441,nail kits,107500.0,9,253
3442,wrap sweater,114200.0,10,1996
3443,skinny pants,171500.0,43,3017
3444,slip dress,219600.0,358,14358
3445,spandex leggings,188900.0,2,2632
3446,peasant top,367500.0,102,2023
3447,high waisted leggings,164900.0,9,702
3448,white diamond,118900.0,139,45885
3449,kimye,161700.0,35,3
3450,crochet top,463700.0,141,4434
3451,pink lipstick,227800.0,141,671
3452,self tanner,441500.0,110,1129
3453,silk dress,296500.0,429,46559
3454,cma awards,706800.0,8,1
3455,side swept bangs,236800.0,13,14
3456,free delivery,185800.0,216,402
3457,jake and the never land pirates,116800.0,0,77
3458,capri leggings,709900.0,39,1554
3459,13 inch laptop sleeve,226300.0,0,18
3460,denim vest,456300.0,53,369
3461,nursing top,250700.0,12,669
3462,fur stole,177300.0,8,161
3463,3.1 phillip lim,316100.0,100,5488
3464,dark lipstick,156200.0,31,91
3465,silk blouse,284500.0,136,11789
3466,denim skirts,381700.0,46,3951
3467,grape seed oil,293200.0,3,846
3468,western shirt,277200.0,46,1069
3469,tonys,272300.0,3,1037
3470,cheilitis,263800.0,0,1
3471,thong underwear,236800.0,1,358
3472,luxury bedding,274400.0,4,5642
3473,plus size panties,220400.0,4,1004
3474,ombre lips,199800.0,15,18
3475,lace underwear,216300.0,3,819
3476,mohair sweater,279600.0,9,2074
3477,white eyeliner,260000.0,25,67
3478,canvas bags,346100.0,5,11181
3479,blush palette,225300.0,110,531
3480,mens cashmere scarf,63600.0,0,719
3481,high waisted pants,273600.0,30,15928
3482,mud mask,204700.0,22,202
3483,hair mousse,240900.0,6,512
3484,sequin shorts,163600.0,8,686
3485,thermal leggings,146600.0,0,29
3486,large suitcase,307400.0,5,160
3487,ring set,172300.0,143,32199
3488,pilot watch,268700.0,6,306
3489,engineer boots,224400.0,2,398
3490,diamond watch,203100.0,11,15687
3491,mens backpacks,234500.0,1,6298
3492,personalized books,109200.0,6,128
3493,tapered jeans,189700.0,13,2477
3494,leather ankle boots,182700.0,26,18856
3495,black lace,345900.0,336,35952
3496,full slip,311200.0,7,1447
3497,face contouring,245000.0,14,2359
3498,mens khaki pants,192000.0,0,19868
3499,chain wallet,216300.0,7,773
3500,floral dresses,566800.0,106,23461
3501,scalp treatment,314800.0,10,392
3502,bifocals,241700.0,3,48
3503,checkbook wallet,185000.0,3,439
3504,evening shoes,306300.0,6,1288
3505,hooded jacket,194600.0,45,5613
3506,nylon panties,294300.0,0,3547
3507,embellished dress,185900.0,82,12980
3508,eye makeup remover,268700.0,38,513
3509,waterproof mascara,324600.0,97,525
3510,titanium watch,240900.0,1,1295
3511,diver watch,273600.0,3,1977
3512,faux leather pants,165500.0,3,885
3513,taffeta,279600.0,101,2285
3514,plaid pants,154000.0,7,381
3515,hamsa necklace,228600.0,8,289
3516,eyebrow powder,245000.0,3,201
3517,kimono cardigan,454500.0,38,464
3518,suede booties,174300.0,45,2367
3519,lace up flats,216600.0,169,3649
3520,cropped sweater,149300.0,43,3518
3521,toe ring,457600.0,8,334
3522,eyebrow makeup,245000.0,12,926
3523,clubmaster sunglasses,392400.0,11,160
3524,flare jeans,364800.0,135,4643
3525,powder foundation,229400.0,38,432
3526,navy dress,424700.0,81,14483
3527,2 piece dress,278500.0,0,2262
3528,linen pants,717300.0,55,5159
3529,peep toe booties,337200.0,67,738
3530,ankle strap heels,344300.0,26,31002
3531,boyfriend cardigan,209100.0,1,209
3532,nail polish gift set,58800.0,0,61
3533,running leggings,232600.0,5,294
3534,knit scarf,109100.0,9,2267
3535,liquid foundation,193800.0,120,501
3536,bell bottoms,278000.0,51,609
3537,gladiator heels,424900.0,6,1791
3538,pastel pink,215200.0,193,1657
3539,mens oxford shoes,209600.0,0,6553
3540,plus size pants,344200.0,8,3617
3541,shearling jacket,154000.0,19,2408
3542,mother of the bride dress,529700.0,51,115
3543,light pink,229400.0,184,6630
3544,champagne flute,135400.0,1,732
3545,belly ring,278500.0,0,495
3546,canvas tote,254800.0,71,2056
3547,petite coats,126900.0,0,1054
3548,mens leggings,182900.0,0,236
3549,eye lashes,245800.0,18,4017
3550,cotton panties,268700.0,0,4448
3551,velvet jacket,141600.0,18,971
3552,sport leggings,266700.0,2,204
3553,thinning hair,285600.0,40,1544
3554,wilt,293200.0,41,230
3555,heeled boots,197700.0,19,54379
3556,wide leg pants,353500.0,200,6523
3557,paddle brush,217900.0,37,178
3558,scrunchie,291600.0,18,90
3559,white gold bracelet,131100.0,4,5864
3560,leather pouch,207400.0,29,1128
3561,evil eye necklace,213000.0,12,338
3562,hi tops,229400.0,8,3325
3563,dip dye,328100.0,54,1087
3564,best foundation for dry skin,203100.0,3,27
3565,flannel pants,88600.0,0,3112
3566,jean shorts,564400.0,96,1976
3567,nightie,219500.0,32,112
3568,cleansing brush,172300.0,20,486
3569,compression leggings,223600.0,6,462
3570,mansur gavriel bucket bag,291900.0,20,56
3571,bermuda shorts,771400.0,32,4875
3572,fever blisters,258900.0,0,18
3573,black top,235400.0,127,54800
3574,crimped hair,217100.0,11,43
3575,double breasted suit,268700.0,28,533
3576,white watch,237600.0,6,20185
3577,bandage dresses,294300.0,7,1087
3578,mens digital watch,169600.0,0,2428
3579,lace up booties,164100.0,29,787
3580,western shirts,199000.0,7,1069
3581,maternity underwear,283400.0,0,124
3582,velvet blazer,123100.0,10,445
3583,quilted,163500.0,459,18382
3584,moire,299200.0,70,20
3585,best shampoo,273600.0,70,322
3586,ikat,353500.0,152,2489
3587,track jackets,163900.0,1,801
3588,tweed blazer,177100.0,18,860
3589,petites,725700.0,1256,30754
3590,full coverage foundation,218700.0,17,572
3591,mens compression pants,140200.0,0,223
3592,face powder,355300.0,103,3896
3593,hair bow,296500.0,20,448
3594,anti-wrinkle cream,325700.0,0,1694
3595,netting,501300.0,35,12984
3596,white bedding,405700.0,21,12318
3597,chunky heels,380300.0,42,6884
